MES; ANO; TIPO DE ERRO; IDENTIFICADOR DO CANAL; NOME DO ARQUIVO OU CANAL; FATO GERADOR DO ERRO; DESCRICAO DO ERRO
agosto; 2013; CANAL; HIS; HISTORY; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HOT; SEXY HOT; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HPE; HBO PLUS *E; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HPL; HBO PLUS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HPM; HBO PLUS HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; IDH; ID HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; JUS; TV JUSTIÇA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; LIV; ID; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MAH; MAX PRIME HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MAP; MAX PRIME; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MAX; MAX HD/SD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MDO; A&E; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MEG; MEGA TV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MGH; MGH HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MGM; MGM; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MHD; MAX HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MNH; CINEMAX HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MNX; CINEMAX; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MPE; MAX PRIME *E; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MPH; MEGAPIX HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MPX; MEGAPIX; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MSD; BIS HD - VERSÃO SD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MSH; BIS HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MSW; MULTISHOW; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MTA; TV ABRIL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MTS; MULTISHOW HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MTV; MTV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MUB; MUSIC BOX BRASIL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MXE; MAX; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; MXH; MAX *E HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; N08; CLIMA TEMPO INTERATIVO - NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NAD; TELA NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NBR; NBR; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NCP; NET CIDADE DE SÃO PAULO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NEW; BAND NEWS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NGH; NETGEO WILD HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NHK; NHK; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NIC; NICKELODEON; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NJR; NICK JR; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; NVT; CANAL NOVO TEMPO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; OFF; OFF HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; OFS; CANAL OFF - VERSÃO SD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PFH; PFC HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PFI; PREMIERE FUTEBOL INTERATIVO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PHD; DISNEY JUNIOR; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PLA; PLAYBOY; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PLV; PLAY TV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PV1; PPV 01 NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PV2; PPV 02 NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PV3; PPV 03 NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PV4; PPV 04 NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PV5; PPV 05 NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; PV6; PPV 06 NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RAI; RAI; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RCN; RECORD NEWS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; REC; RECORD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RHD; RERCORD SP HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RIT; RIT TV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RMD; REDE MUNDIAL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
